xaxis	Pop1.mean	Pop1.se	Pop2.mean	Pop2.se	Pop3.mean	Pop3.se
8000	1374.5495769744	43.1678229137332	1363.00849385842	78.2108769264412	1241.74636372136	32.4737223471387
8100	1384.3009197056	43.7175730218336	1374.95110606895	78.5089157935934	1254.49985105203	32.9052682531319
8200	1395.6122522256	44.0402499711665	1383.67088080580	79.1467575471202	1263.41243484936	33.1770311725124
8300	1407.6451245456	44.0907476999999	1394.34461141223	80.125849950633	1273.81625930854	33.2191555829527
8400	1418.6798724096	44.5744978946335	1405.28295459623	80.3928810597114	1283.4801	33.6213687280427
8500	1431.7063390224	45.1869452013662	1420.512996	81.1836201843077	1293.21464558907	34.0113551715406
8600	1439.5054796304	45.3508962520669	1428.44591457671	81.860159703596	1302.74423983483	33.9119726069891
8700	1453.3360453136	45.3055014288335	1440.33059158436	82.4076681299777	1311.8276	34.2379525691504
8800	1464.36455424	45.9394951256000	1450.63193221594	82.5436202585367	1321.04217044435	34.5686981028646
8900	1474.57115364	46.3244192398336	1462.84828028345	83.3163253067268	1332.47339073623	34.8160416155191
9000	1485.22013796	46.5134701760335	1474.73175206515	83.9616916970861	1342.84166621773	35.1907238603959
9100	1496.4497775504	46.5999379187004	1483.73575734537	84.6804695198449	1351.21496128352	35.3341471745031
9200	1506.02916624	47.4842599559331	1493.74772043745	85.17815955276	1362.99213778886	35.411441108195
9300	1517.9523367824	47.4287952529663	1504.098623158	85.8131043173637	1371.18758760215	35.6886914455752
9400	1527.0396042816	47.8266790302999	1515.376689	86.3293880626226	1381.48018127832	36.0198247514056
9500	1539.9193633296	48.1535595364003	1525.93589480676	86.6489035377628	1390.141641	36.0234910585474
9600	1551.1646495376	48.2889544613331	1537.33828842650	87.2127469175954	1399.76256422070	36.4897353725104
9700	1562.0788421136	48.5869654603004	1546.41958427567	88.1660529511145	1409.26373896371	36.5959365380722
9800	1572.2214908816	49.078447201033	1559.06469536212	88.6893982534012	1419.58372749703	36.8025445476879
9900	1580.37333284	49.2552879688001	1569.58042433308	89.1753354166905	1426.82636772949	36.8478963363451
10000	1593.0667653264	49.7756965537664	1582.79970504634	89.889524854879	1437.13647205584	37.2066774381290
