xaxis	Pop1.mean	Pop1.se	Pop2.mean	Pop2.se	Pop3.mean	Pop3.se
100	64.0409540496	1.66052542333333	64.2603474348551	2.47343888674463	59.0046320505647	1.31660593034716
200	108.4595006864	3.02645622293334	107.816987149154	4.91270926163086	98.7323365824368	2.37301449653024
300	145.4398971456	4.29363131601	144.882491966597	6.93247203774462	132.405548632217	3.28319717636349
400	180.1618912784	5.10784064912334	178.198685941447	8.88852802858515	161.851226122848	4.11654360958983
500	210.0936692736	5.91364267483334	208.851858714955	10.3170194763178	189.732554293902	4.75602665414192
600	238.38703616	6.95506078201	236.154394595072	12.1775945908456	215.644087603549	5.50767256479677
700	265.182225	7.76107911488334	263.638102204599	13.7672947248171	239.596809762103	6.12924924979569
800	292.15014464	8.67252604519333	288.540338714959	15.317149309464	263.178822739501	6.69007447360733
900	315.575844	9.55548960584	313.498431124486	16.3743683228063	284.628462282715	7.45993258740992
1000	340.0969513536	10.0834436446667	336.907922714962	18.1478802231868	307.142517698005	8.0666259817857
1100	363.1831160384	11.3970400161999	361.118164545537	19.6460546247560	326.69630994222	8.48871827599879
1200	386.4229031936	11.8863048969334	379.485975445644	20.4291076284735	347.118288892435	8.9950931543411
1300	407.0256355856	12.4640329051	403.026042175026	22.2727116470116	367.65605025	9.58341026763362
1400	429.3597470736	13.2013670827335	422.648627592855	23.2756685905272	386.355831612485	10.2782729172281
1500	448.5681925184	13.8366979617332	446.255549808693	24.8813371829233	405.417093163957	10.8061025301899
1600	468.57163716	14.5324547340334	463.31820687229	25.3325775804323	422.660008978124	11.3340696524901
1700	488.5989708864	15.2806988518001	485.506593728072	26.7838124703494	442.014711695641	11.7024357749026
1800	506.6227959824	15.7662551095333	502.653528224319	28.3375292085291	458.392331748151	12.2939576337389
1900	527.99273984	16.4096558673666	522.568909695059	29.6000970377429	475.696757897392	12.8394424428464
2000	545.1502450944	17.1398551246335	540.518272379269	30.3083521452407	490.572987070232	13.1656882945176
2100	562.4846096784	17.6247119399332	557.513742938593	31.3470092577557	509.11144460913	13.6079980730270
2200	581.29348836	18.0397257292334	575.490524169209	32.6801555664814	523.78722684274	14.1311333786310
2300	597.6615760896	18.7030915184333	592.033089266045	33.7915947741949	540.68950177897	14.3769859609899
2400	616.2877146384	19.0303753004335	608.649369805566	34.7153937366226	556.605811703776	15.1415512929300
2500	632.1170427024	19.8839312732667	624.927685318677	35.7139416364737	570.21269025	15.3494255748216
2600	649.7956188416	20.3411640562665	643.986552121352	36.0752145872967	587.6125258728	15.8561037313358
2700	666.7990914624	20.8977579735667	660.096638227679	37.1894478895826	603.070479781633	16.3528030228691
2800	682.4401081344	21.2620836751998	676.64537985926	38.5067869417548	618.86095521346	16.4713722051020
2900	699.7847608896	21.6832526282002	691.922903116581	39.4047148137012	632.196101579699	16.9369361979535
3000	713.93751056	22.2936089400667	707.553032963452	40.2356422305138	647.844847801601	17.5704033241299
3100	730.1990378256	23.0389214264669	723.382696077204	41.3813445258523	660.206109979005	17.7919266208017
3200	746.0184443456	23.2460704464001	742.463291136034	42.3671615540223	675.399610994875	18.0521385015552
3300	761.6526143744	23.9943058675002	756.252042282729	42.8299804432986	690.162814961278	18.3328160024561
