Pop1.AVG	Pop2.AVG	Pop3.AVG	test.p	test.pBH	test.pbonferroni
Treponema	3.57024645785526e-05	7.3869025747481e-09	1.39961500655024e-05	0.0891168514372531	0.648122555907295	1
p-75-a5	1.10327362427003e-05	8.83825452534337e-06	2.08916162736429e-05	0.521171643198049	0.94504628780442	1
RFN20	2.92797318045364e-06	4.96382717151241e-06	2.37013763884055e-05	0.887236908541617	0.983035853080459	1
Alistipes	1.20425838506235e-05	1.28122552013126e-05	1.47047460751887e-05	0.989310297918337	0.997757604828386	1
Butyrivibrio	1.17096598077071e-05	1.25767424849422e-05	1.32931503991480e-05	0.945142399417674	0.994148925270592	1
Anaerotruncus	2.2092044969126e-05	7.06567249890433e-06	1.08467178692517e-05	0.86002797788718	0.97591827277978	1
Pyramidobacter	2.57018605880525e-06	6.69447688410897e-06	1.99886190954797e-05	0.386016485300700	0.931594490591579	1
Clostridium	2.25826056524309e-05	1.73153993671580e-05	4.65206994399643e-06	0.0158354993335181	0.397349247964636	1
Moraxella	1.94365377453893e-05	9.61010820221303e-06	8.58881753531683e-06	0.41906993877864	0.931594490591579	1
115	1.03937860098467e-05	2.23064847638839e-06	1.56999835137123e-05	0.0484873080023659	0.617034393500394	1
Enterobacter	7.09625761261718e-06	2.02450210071084e-05	7.87697962300488e-06	0.775105356678674	0.955730781918952	1
Aggregatibacter	1.39598638689228e-05	1.38209876578771e-05	7.32203414863461e-06	0.0235951818763767	0.397349247964636	1
Desulfovibrio	4.48286305719247e-06	9.00300729347329e-06	1.36269238856523e-05	0.509659731857372	0.94504628780442	1
Christensenella	5.42398319390424e-06	6.33244702505471e-06	1.29212583623531e-05	0.385916884523394	0.931594490591579	1
Nesterenkonia	2.77627526148408e-06	1.39415020627833e-05	1.00759697294970e-05	0.335123614898913	0.931594490591579	1
Citrobacter	2.34491022518312e-05	2.25369138490634e-06	4.80568914033432e-06	0.997757604828386	0.997757604828386	1
Mesorhizobium	4.77958331545438e-06	1.7671110223131e-05	6.07019513897346e-06	0.552272010940706	0.955730781918952	1
Corynebacterium	3.44959944491761e-06	1.87354054980826e-05	4.3029945596924e-06	0.98625147435112	0.997757604828386	1
Eggerthella	8.46402178405753e-06	2.23766097311504e-06	7.48937054754525e-06	0.507682175807376	0.94504628780442	1
Gemella	3.20443645328706e-06	5.53652804176308e-06	7.54412191056529e-06	0.174139228204896	0.819478720964215	1
Oribacterium	4.29344605386465e-06	9.26017973235498e-06	4.19861337883497e-06	0.0539905094312844	0.617034393500394	1
Capnocytophaga	9.05560794498926e-06	1.85749599831806e-06	5.40685996571947e-06	0.0887652256499193	0.648122555907295	1
Staphylococcus	-6.45711914102338e-07	2.67941895872325e-06	9.38063093845321e-06	0.0584620040991015	0.623594710390416	1
Lautropia	1.13464918070212e-05	1.82470307992427e-07	3.87618264744973e-06	0.0290546497368345	0.422613087081229	1
Pseudomonas	3.81742521172092e-06	6.87461355813428e-06	4.04673733508488e-06	0.281104070945817	0.931594490591579	1
Sneathia	1.72350592054643e-06	1.57815315466231e-05	8.35208398849555e-08	0.731789639348	0.955730781918952	1
Rothia	4.23960744155201e-06	4.29518610474086e-06	3.51800826780357e-06	0.485900928720862	0.94504628780442	1
Bilophila	1.4109048566757e-06	4.26538452361297e-06	4.68278986068543e-06	0.442304422640895	0.931594490591579	1
Moryella	1.15336073987650e-05	5.61217515879228e-07	9.38743238365052e-07	0.0169494853087736	0.397349247964636	1
Atopobium	-4.76040762433362e-07	1.79350221404290e-06	5.00511613665239e-06	0.651130698281055	0.955730781918952	1
Morganella	1.39035155259368e-06	1.2031002290741e-06	4.16182684706728e-06	0.806776323847308	0.955730781918952	1
Providencia	8.7269516099079e-07	1.06950796138792e-05	-3.45803370450752e-07	0.824317799405096	0.955730781918952	1
Catonella	4.35153411614418e-06	-1.46565780994055e-06	3.31531776756044e-06	0.140739008374105	0.804222904994885	1
Eikenella	1.02284105457317e-06	2.11959714318999e-06	3.14504201176490e-06	0.842647049964338	0.963025199959244	1
Paenibacillus	1.61024918799116e-06	3.42920449866316e-06	2.09041873239288e-06	0.822329257199726	0.955730781918952	1
Marinobacter	-2.55869285896837e-07	1.22327176718184e-06	3.84186992729908e-06	0.442507383031	0.931594490591579	1
Propionibacterium	-1.00968811772460e-06	1.97568845865392e-06	3.56039096487478e-06	0.190992451423961	0.84885533966205	1
Trichococcus	1.13694085896275e-06	2.29448071719737e-07	2.76840059265157e-06	0.335897744605104	0.931594490591579	1
Tannerella	3.14218133495026e-06	-2.94957320897315e-06	3.33133192542581e-06	0.0180090682277908	0.397349247964636	1
Vibrio	2.69588869457142e-06	2.07461793169667e-06	1.01787288025208e-06	0.756618999415173	0.955730781918952	1
Helicobacter	-1.78519554785433e-06	1.99045669559057e-06	3.27855430526405e-06	0.0992300765941786	0.690296185002981	1
Trabulsiella	2.24977270088723e-06	2.10450353992749e-08	2.21010371978230e-06	0.346629848594318	0.931594490591579	1
Zoogloea	3.08958131237852e-06	1.35372234008452e-06	9.76823262462746e-07	0.582631143632848	0.955730781918952	1
Filifactor	3.21939484522634e-06	-2.21545532621591e-06	2.54677098902765e-06	0.0880068850549978	0.648122555907295	1
Salmonella	1.85726763957776e-06	2.81051618357469e-06	4.6051629472362e-07	0.44184735682114	0.931594490591579	1
Erwinia	1.90672168585761e-06	2.78142983944463e-06	3.63310590805596e-07	0.350293122483851	0.931594490591579	1
Mobiluncus	2.91874546286e-07	2.30035476446749e-06	1.35743003906852e-06	0.699211946941838	0.955730781918952	1
Eubacterium	-9.20525634816435e-07	2.50540439180527e-07	2.93275228975623e-06	0.610748752840625	0.955730781918952	1
Lachnobacterium	3.05629365973737e-06	1.08928095111966e-08	1.03893815295197e-06	0.450678300017068	0.935446240050837	1
Epulopiscium	2.36094542689111e-06	1.76876528361650e-06	5.0398828762324e-07	0.685053335569203	0.955730781918952	1
Varibaculum	4.51755142809457e-07	1.78244137834978e-06	1.22980380011262e-06	0.9603630823467	0.997757604828386	1
Sporosarcina	2.19414738289195e-06	1.74943262439513e-07	1.15988199472958e-06	0.700008438787263	0.955730781918952	1
Methylobacterium	9.23170389335809e-07	1.99224240064737e-06	6.35966150827327e-07	0.943562362879169	0.994148925270592	1
Anaerofustis	2.15910285276086e-06	6.04662154025017e-07	4.69864011636097e-07	0.948527965263815	0.994148925270592	1
Roseomonas	7.22735752545524e-07	1.79503799319092e-06	4.57653914079243e-07	0.7671469977142	0.955730781918952	1
rc4-4	1.37011988150755e-06	1.71499310459506e-06	1.72870651379948e-07	0.731176467634436	0.955730781918952	1
Novosphingobium	-1.10526416120883e-06	1.12590186356089e-06	1.49592068642027e-06	0.487884149819707	0.94504628780442	1
Achromobacter	-1.41729742909455e-06	9.3925196547462e-07	1.72253963853221e-06	0.425078867597962	0.931594490591579	1
Arenibacter	-1.01566047485286e-06	-4.25191333245748e-07	2.14212325609621e-06	0.21107481715645	0.888736072237684	1
Ralstonia	2.04758455142512e-06	-2.80796506246692e-06	1.70892512010768e-06	0.0248343279977898	0.397349247964636	1
Anoxybacillus	3.89091210552649e-07	-1.81264122751060e-06	2.03624841598079e-06	0.318096159227449	0.931594490591579	1
Schwartzia	3.33768505564234e-07	1.93425954319515e-06	1.11617843640831e-07	0.671011642978435	0.955730781918952	1
Facklamia	-1.32487143913736e-06	2.34966869513136e-06	5.70202828578899e-07	0.391471568874806	0.931594490591579	1
Bacillus	-1.00201551220369e-06	1.20615782726496e-06	9.47503774174539e-07	0.64563545886813	0.955730781918952	1
Kingella	1.86006681103241e-06	8.17354796767056e-07	-3.26898071740801e-07	0.724587595072125	0.955730781918952	1
Ochrobactrum	-2.03244700698004e-06	-9.84900834931263e-07	2.50272451132445e-06	0.0830593147020741	0.648122555907295	1
Blastomonas	1.03097063877298e-06	5.042045641069e-07	2.18661551754854e-07	0.897955836986418	0.983035853080459	1
Lysobacter	5.92982802384776e-07	-1.113003194332e-06	1.11987862012693e-06	0.523727949591721	0.94504628780442	1
Skermanella	1.91890804989553e-06	-6.99592207868816e-07	2.39109846481615e-07	0.5169449330039	0.94504628780442	1
Blvii28	-9.7878257641408e-07	2.62534458597628e-06	-5.68255165126121e-08	0.236264630856597	0.909324484861174	1
KD1-23	-6.33668483157258e-07	1.54956546573261e-06	3.02858894691271e-07	0.686876724917604	0.955730781918952	1
Peptostreptococcus	3.61995160401143e-07	-1.84545766632873e-06	1.40686700822309e-06	0.709504563743764	0.955730781918952	1
02d06	2.05695725725114e-06	-3.49011368752962e-07	-2.69542652716608e-07	0.363461690999391	0.931594490591579	1
Dechloromonas	-2.25547169296357e-06	3.00364587532588e-06	1.50060586553672e-07	0.122141571869085	0.781706059962141	1
Jonquetella	-6.92588977787257e-07	2.33230161868137e-07	7.13147551674939e-07	0.752424507809085	0.955730781918952	1
Aerococcus	-1.08657914233227e-06	1.45723315955391e-06	2.93204204644977e-07	0.808597683860802	0.955730781918952	1
Kocuria	-9.75932467845163e-07	-1.44671168100694e-06	1.59344450909097e-06	0.292605834346449	0.931594490591579	1
Cohnella	3.36327994591520e-07	4.01056734755935e-07	-1.30129280926954e-07	0.950654909790003	0.994148925270592	1
Synergistes	6.0166291310445e-07	3.70238139488071e-07	-3.45373739873725e-07	0.823288212516397	0.955730781918952	1
Paludibacter	3.81625933685564e-07	-2.21484509611340e-06	9.5665472166572e-07	0.392751941289755	0.931594490591579	1
Acholeplasma	1.00961005568508e-06	-1.52044784995555e-06	2.92041603984346e-07	0.617755279012838	0.955730781918952	1
Sphingopyxis	-1.46441532415322e-06	1.18908588619269e-06	6.29179018088446e-08	0.544428344327361	0.955730781918952	1
Vagococcus	2.43698590202199e-08	-6.19029063188092e-07	2.08095421856700e-07	0.97210154194793	0.997757604828386	1
Rubellimicrobium	2.87681788169723e-06	2.82166484549301e-06	-2.97078987797917e-06	0.00223247602404728	0.178598081923783	0.357196163847565
Acinetobacter	-6.95068202112029e-07	1.13983949701907e-06	-3.64021603518971e-07	0.798071357838005	0.955730781918952	1
Xenorhabdus	9.22076712595158e-08	-2.3844384850233e-06	8.95233869506242e-07	0.368011006212518	0.931594490591579	1
Paracoccus	-1.39969551935777e-06	4.02008004020854e-07	-1.50714720179130e-09	0.718144090474517	0.955730781918952	1
Sphingomonas	-1.68639367000026e-06	-2.51811245689142e-07	3.97103756927741e-07	0.626997920633953	0.955730781918952	1
Fructobacillus	-1.88846442316523e-07	1.91814391117056e-06	-1.47921469479706e-06	0.254307411128009	0.909324484861174	1
Psychrobacter	-9.75471473260057e-07	1.21533877681926e-07	-2.56244638930365e-07	0.891268487702753	0.983035853080459	1
Oligella	8.17946740426034e-07	-2.17867361808482e-06	-5.55750250889352e-08	0.438424401849851	0.931594490591579	1
Mycoplasma	1.18439980064299e-06	-9.49413641743873e-07	-1.00902914407523e-06	0.751086833034697	0.955730781918952	1
Defluvibacter	-6.60737554232207e-07	-2.00035923956095e-06	7.72800071880537e-08	0.707071116880412	0.955730781918952	1
TG5	-1.64859505124154e-06	1.18462080795615e-06	-1.03841074798093e-06	0.40113036531531	0.931594490591579	1
Pediococcus	5.7516949058995e-07	-2.47117992044244e-06	-3.26581808524946e-07	0.461073333852178	0.935446240050837	1
Cardiobacterium	-4.64038099162232e-07	1.09883280938155e-06	-1.64025704551005e-06	0.525681997591209	0.94504628780442	1
Macrococcus	-2.68160597130161e-06	-8.59367674406653e-07	1.07063213945356e-07	0.430289821090111	0.931594490591579	1
Abiotrophia	-4.16232073466092e-06	-2.25559602421529e-06	1.48616476857552e-06	0.0149621072715414	0.397349247964636	1
Leucobacter	6.3876462518231e-07	-1.53702262283932e-06	-1.31154068351715e-06	0.571372637787866	0.955730781918952	1
Shuttleworthia	5.43237271485788e-07	-7.40674038145917e-07	-2.1080302453904e-06	0.281818053179361	0.931594490591579	1
Shewanella	-3.60299469240675e-08	-1.33138127217521e-06	-1.95603504045959e-06	0.624632496995954	0.955730781918952	1
Arthrobacter	-1.97717739307918e-07	-1.75525746948532e-06	-1.92554941127296e-06	0.633788797020622	0.955730781918952	1
Janthinobacterium	1.48876459978039e-06	-1.51078199754297e-06	-3.06143982504854e-06	0.0727361584292479	0.648122555907295	1
